indicator,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
Harmony with the surroundings,7.3025374,-2.4088728,0.14306295,-2.2658894,2.0149946,0.67027354,-1.1237293,-0.30970588,1.0525239,4.084384,-5.02778,-1.7954535,0.83049107,-7.4864726,3.8421326,1.571415,3.9122915,-1.1231111,-0.9076534,3.9719532,2.1554947,-0.0978059,0.8692231,1.766536,-5.1791286,1.8452854,-2.7559168,-0.5684974,-3.0258565,-0.6345957,-1.9920137,3.0466316,-2.5760612,2.3662162,2.3060224,-1.4659069,0.9283846,1.8038411,3.533926,-2.8536487,-1.5587988,-1.3282543,-2.5432718,-0.7946899,-1.1112193,3.2752218,-1.6119752,-1.1043521,0.2977764,1.199224,2.466234,-0.5208531
Amenities,-2.933604,-2.632437,1.3687903,3.4297554,-2.281244,-6.0793834,0.005453512,-2.9288034,1.6721396,7.166666,2.6738245,-1.4432033,-1.4254899,-0.03905782,2.223914,-2.7320237,0.5073497,-0.7785054,-3.116231,-3.2032418,1.5937063,-0.2842638,1.4677961,0.7626285,-2.814235,2.7534838,-1.9821138,2.9945195,3.2710822,0.53450775,-1.8227867,-1.5224392,-1.2542503,1.4627435,-0.2727185,0.12801269,2.0143318,4.4898915,0.710847,1.0927683,3.3908668,3.5996408,-0.69475555,0.34837574,-0.24425188,0.4164784,0.68285847,-2.6174045,2.5980945,-0.99389225,-0.1763854,-0.008430928
Cycling facilities,0.27407965,-1.6705645,-3.0952473,-0.016068995,-0.4355521,-3.060044,-4.237701,0.014930248,0.17889547,0.45812297,3.607485,1.1188184,-8.805011,-2.3001878,1.0449569,3.591289,2.8091927,-0.17158046,1.7926832,-4.624377,4.2161355,0.86319244,1.0698218,-1.4560537,-2.8328068,-3.050558,-0.03347777,-0.39943257,0.3620118,-0.93947864,3.2564726,-2.9354208,-1.5968795,0.31392425,-2.355227,1.2769389,4.0959163,0.10947093,1.6545236,-1.8981667,3.671063,-3.4477985,0.8978831,-1.4357376,-1.2465699,1.8961182,-4.3400083,0.27492502,-1.9664793,2.9008195,3.212792,-3.461914
Walking facilities,-1.7877438,-3.6559727,-0.684314,2.1567693,3.0317364,-6.926113,-2.6627178,3.1582448,-7.9446483,-1.7674508,2.6651988,3.9331534,-1.6514677,-2.5505972,-1.2671177,0.6886666,1.5412408,2.424839,-5.7210917,-5.00519,0.9103174,3.7733624,-1.2680792,-5.043588,-1.2368127,0.93667257,-4.4197674,1.9368043,1.6877674,-1.0390507,-5.0091624,-0.7827271,-0.95437264,-2.9988708,3.2852168,-2.3895738,-0.039044477,0.2401251,-1.5946949,-0.9273214,-0.3883289,1.6005816,1.1765983,-0.85753775,-0.5077877,-4.6268578,-3.155993,-0.6100825,-0.5421768,-3.4991376,-1.7697238,0.24022019
Education facilities,2.0270512,-7.998107,-0.4753675,5.1373158,-2.0276341,-7.706607,1.6935067,-2.2189767,3.8041337,2.7796261,3.4017372,7.142386,-1.2127031,8.157596,0.9422264,5.0216055,5.2038693,0.7586254,-3.750336,-0.7763223,2.1493568,-0.9075953,-0.4699925,0.62976,1.137813,1.2467589,0.42812824,-0.6260592,1.3211641,0.65340567,-1.4714758,-2.0873742,-2.7580147,-3.1319456,-2.6709778,1.9926642,0.7204853,2.4796398,-0.92403996,-1.59629,-0.46509463,-1.6986415,0.47560897,0.38150102,-0.3337481,-1.6720589,-2.0692122,0.2954865,-0.39619893,1.104001,0.58933437,-0.22105452
Number of types of facilities in the park,1.2305475,-3.5122814,9.727587,-7.08452,1.3538287,1.1910162,-4.9250574,4.0391216,-3.6779752,2.7174911,1.8966062,5.854908,-8.323033,0.9384098,1.6153002,-0.5055882,-1.9833586,-2.6561685,0.5763906,1.6124597,1.6853037,-0.97596955,-0.7696748,1.7919073,-2.4701152,0.51125336,-0.38305473,-0.5350067,0.11032906,1.4372987,-0.4235737,-1.2869151,2.6282213,-1.9607087,2.5742888,3.1506286,-0.20940635,2.549694,0.51752466,0.16798177,1.6258402,0.0889578,1.1827694,-2.3966672,0.042764172,-1.4745666,-0.6120227,-1.4295263,-1.2069331,-0.18140021,-0.46964014,-0.0037362576
Number of environmental education programmes or activities provided to park users,2.8782094,-5.0083947,5.157623,-11.992973,1.4255134,-3.2112944,-2.1703873,-0.49540806,3.5837805,-0.69248265,2.0392973,10.731364,-4.794625,0.67746174,-0.17087263,-2.5157967,-1.7395624,-0.059763253,1.1466709,3.2520633,2.8083377,-3.2522964,-1.8593748,-0.63135386,3.6603599,2.271538,-0.30621156,-1.281702,1.7071488,-1.7337587,-2.6478958,2.0923262,-1.4371717,-3.4320698,1.6807165,2.32185,-1.5699906,0.55201524,-1.9299273,-0.22069202,0.63896465,-0.4175594,-1.248533,-0.54034525,-0.5835054,-0.92898524,-0.75519276,-1.5149758,-1.6282135,-2.0851493,-1.8821273,0.2475325
Forestation and reforestation,4.302672,6.9431176,4.5870514,2.4242384,2.6535177,-6.8988366,0.49433678,3.0503635,6.5304794,-7.648501,-7.067377,0.41529608,-3.6306472,-0.89243585,-1.1525699,6.00259,-0.06575087,-2.3291173,2.4350204,-1.5473089,-0.6506938,-1.9689505,-1.0290515,-0.58752704,0.2829309,2.169106,-1.9086853,-1.0668467,1.7690754,-0.27139127,-2.091609,-0.6093643,-0.12406698,0.1917581,4.5785036,2.866949,1.2334368,0.043703616,2.0376325,-1.1953272,-2.0628798,0.9434589,0.5736389,-0.14845861,-0.8623344,-0.12689671,1.3304601,1.707948,1.4739015,0.674703,1.3518511,-0.26757574
infrastructure sustainability indicator,6.074276,-0.08141871,-6.941206,6.2228165,-1.8472059,-2.7692907,-3.6164384,0.117721915,-1.7609196,-4.2715025,-0.00029341504,-5.1448064,-2.2613592,0.8229519,-2.4354854,-1.1776575,1.0515883,-0.25885487,2.0933824,0.3864912,2.9732618,1.6323115,1.4766481,-2.9237502,-2.4590936,4.4122705,1.8560594,1.4472938,-3.1177158,-2.8168595,-1.6313934,-3.3170168,0.85949004,-2.0932384,0.13919663,3.1832616,1.7913959,-1.0786364,-1.4116852,-2.101004,1.9950225,2.3924026,-1.4184375,-0.12806377,-3.4360735,-0.44372207,-2.630798,1.3706595,-1.071502,-0.1891829,-0.77904916,0.9532505
Access to parks & recreation areas,4.483505,-5.252642,4.5957856,-12.782831,2.607926,-1.5758513,-1.2404081,3.0464573,-4.875143,4.202003,-1.1550505,5.272334,-6.526035,0.80728847,1.4300903,0.30397755,-1.6238315,-4.2190986,-0.29900247,-0.7729735,2.1289563,-2.474081,-0.78867185,-0.2078684,0.72698224,0.038314253,0.7696454,-1.046067,-0.74551165,-3.0719323,1.5058792,1.7630373,2.2606363,0.40946126,1.1596138,-0.22456536,-2.427421,2.3309088,-1.3724252,-1.1588628,1.4569192,-0.6388129,2.2237792,-0.29383457,0.7565689,0.80476594,1.1512723,-3.6169343,-1.1784713,-1.4568362,-1.811635,-1.0629044
