,indicator,indicator,indicator,indicator,indicator,similarity,similarity,similarity,similarity,similarity,type
top,1,2,3,4,5,1,2,3,4,5,
index,,,,,,,,,,,
% Availability of treated wastewater for reuse,Maintaining traditional irrigation system,Frequency of sharing salmon legends annually,Recreation (motorized/non-motorized),Ensure the quality of the traditional resource use activities,Proportion of residents who say that they would like to regularly access traditionally/commonly harvested natural resources and are able to do so as much as needed,"0,44","0,37","0,32","0,31","0,29",general
% reduction of CO2 emissions,Diminish the negative visual impacts of forestry operation,Loss of authenticity and becoming impersonal,"Impairments through visual, acoustic or olfactory disturbances",Avenues of trees,Pollution of the façade with modern stylistics,"0,55","0,43","0,4","0,27","0,26",general
-National Accessibility,Accessibility,Process transparency,Viewpoints,Degree of unobstructed view,View-leading elements,"0,87","0,58","0,48","0,44","0,43",general
Access and type of sanitation facility,Accessibility,Opportunities for ocean viewing,Number of officially designated sites and its management,Proportion of residents who say that they would like to regularly access traditionally/commonly harvested natural resources and are able to do so as much as needed,Cleanliness and Improvements,"0,31","0,28","0,25","0,25","0,24",general
Access to Cultural Facilities,Coordination of cultural events,Cultural activities and resources,Participate cultural activities,Existence and visibility of cultural landscape elements,Number of events to popularize cultural heritage,"0,78","0,74","0,74","0,71","0,7",general
Access to Fresh Food,Number of healing plants,Accessibility,Variety of flowering plants,Cleanliness and Improvements,New identities programmes and spaces. Alternative forms of celebrating contemporary culture.,"0,32","0,31","0,3","0,3","0,27",general
Access to high quality education,Educational,Areas and objects of educational or scientific value,Scientific/educational landscapes,Promotion and education in Past Identities programmes and spaces,Number of cultural–educational programs.,"0,75","0,58","0,44","0,43","0,38",general
Access to improved water sources,Cleanliness and Improvements,Opportunities for ocean viewing,Viewscape quality,"Beautiful, attractive place",Scenic beauty,"0,46","0,34","0,31","0,28","0,28",general
Access to information,Accessibility,Process transparency,Type of information given to visitors before and during site visits,Monitor new knowledge and changes in traditional use patterns,Historical path,"0,75","0,58","0,46","0,43","0,43",general
Access to other public services,Accessibility,Number of citizens initiatives,"Cultural, leisure and sport facilities, programs, courses",Social preferences,Free time & social interaction,"0,64","0,42","0,39","0,37","0,37",general
Access to parks & recreation areas,Areas of importance for landscape-related recreational use or tourism,"Cultural, leisure and sport facilities, programs, courses",Parkland,"Places of socialisation (parks, benches, etc.)",Objects as recreation attractions,"0,72","0,66","0,65","0,64","0,56",general
Access to potable water and use of waste water systems,Maintaining traditional irrigation system,Plastic Arts,Proportion of residents who say that they would like to regularly access traditionally/commonly harvested natural resources and are able to do so as much as needed,Opportunities for ocean viewing,Viewsheds,"0,27","0,23","0,22","0,22","0,2",general
